53.528333,8.5568,-2.6534,-126.2804,0.802133,0.404925,-0.10827,-4.3489,-2.5087,-55.4326,0.058955,-0.25729,-0.04805,16334.0,4817.0,16345.0,4815.0,-626.0,0.0,0.0,0.0,104.0,-272.0,218.0,-518.0,0.0,stand~fwd,101
53.568546,7.5168,-2.4334,-116.1204,0.757133,0.375925,-0.10327,-3.3689,-0.7087,-59.3126,0.099455,-0.38529,0.03845,16335.0,4817.0,16345.0,4815.0,458.0,0.0,0.0,0.0,61.0,-272.0,222.0,-518.0,0.0,stand~fwd,101
53.608822,6.5768,-2.0734,-93.9404,0.666133,0.261925,-0.07627,-2.1089,0.0513,-50.6126,0.106455,-0.39529,0.06245,16335.0,4819.0,16345.0,4815.0,0.0,476.0,-1088.0,0.0,61.0,-286.0,222.0,-518.0,0.0,stand~fwd,101
53.649101,4.2968,-0.6334,-45.8204,0.381633,0.069925,-0.04227,0.5511,2.5513,-18.3126,0.173455,-0.21879,-0.00155,16335.0,4819.0,16345.0,4815.0,51.0,0.0,-1674.0,0.0,79.0,-289.0,222.0,-518.0,0.0,stand~fwd,101
53.689356,1.5168,0.8866,-9.5804,0.161133,-0.017575,0.01623,1.2311,1.6513,-1.2326,0.023955,-0.01979,-0.01455,16335.0,4819.0,16344.0,4815.0,11.0,0.0,0.0,0.0,96.0,-297.0,229.0,-518.0,0.0,stand~fwd,101
53.729573,-0.3832,0.3466,-0.4804,0.011133,0.010425,0.01023,1.2511,0.7313,0.0674,0.016455,-0.01679,-0.01255,16338.0,4820.0,16345.0,4815.0,575.0,0.0,802.0,0.0,7.0,-304.0,168.0,-515.0,0.0,stand~fwd,101
53.769783,-0.3832,0.6866,-0.6204,0.015133,0.015925,0.00823,0.9511,0.3113,-0.2926,0.018955,-0.00029,0.00095,16339.0,4820.0,16347.0,4814.0,0.0,0.0,2014.0,0.0,39.0,-307.0,168.0,-511.0,0.0,stand~fwd,101
53.810046,-0.2432,-0.0334,-1.0604,0.013133,0.009925,-0.00727,0.5511,0.2913,-0.6126,-4.5e-05,-0.01079,0.01245,16338.0,4820.0,16347.0,4812.0,-1545.0,0.0,0.0,-161.0,89.0,-314.0,218.0,-497.0,0.0,stand~fwd,101
53.85026,0.1968,0.0466,-1.3604,0.015633,0.002425,0.00273,0.2511,-0.0087,-0.7326,0.015455,-0.01229,-0.01305,16335.0,4820.0,16347.0,4811.0,919.0,0.0,-2205.0,0.0,64.0,-318.0,257.0,-490.0,0.0,stand~fwd,101
53.890481,0.1768,-0.1334,-1.6404,-0.000867,0.003425,0.00523,0.7511,-0.2887,-1.3526,-0.008045,0.00171,-0.00305,16335.0,4820.0,16348.0,4809.0,-630.0,0.0,0.0,0.0,43.0,-318.0,214.0,-475.0,0.0,stand~fwd,101
