67.715203,5.9633,-6.8761,-162.6659,1.081295,0.38713,-0.327218,-1.8897,-2.8045,-128.8458,0.314652,-1.008855,0.054823,16350.0,4788.0,16349.0,4795.0,546.0,-1985.0,-908.0,0.0,11.0,-32.0,4.0,stand~walk,101
67.735312,6.2233,-7.5361,-174.4659,1.111295,0.42013,-0.356218,-2.2097,-1.9645,-129.9258,0.329152,-0.997855,0.062823,16349.0,4790.0,16348.0,4795.0,-740.0,1827.0,-1571.0,0.0,-39.0,-104.0,4.0,stand~walk,101
67.755521,6.9233,-7.7961,-184.0259,1.182795,0.43963,-0.375718,-1.6697,-1.8245,-136.6058,0.311152,-1.043855,0.035323,16348.0,4791.0,16347.0,4796.0,-2157.0,1263.0,0.0,2139.0,29.0,-36.0,4.0,stand~walk,101
67.775626,7.7033,-7.4161,-190.2859,1.190795,0.43013,-0.369218,-1.8497,-2.4445,-141.9258,0.351652,-1.073855,-0.003177,16346.0,4793.0,16346.0,4797.0,-626.0,1545.0,-1637.0,2139.0,36.0,-93.0,4.0,stand~walk,101
67.795739,7.5233,-7.6961,-194.5059,1.213295,0.46263,-0.372218,-1.7297,-2.0045,-147.0058,0.390652,-1.071355,-0.016677,16345.0,4795.0,16346.0,4798.0,-278.0,1827.0,0.0,828.0,25.0,-93.0,4.0,stand~walk,101
67.815857,7.6033,-7.4561,-190.4259,1.180295,0.45013,-0.346718,-2.5497,-3.0045,-145.9658,0.372152,-1.034855,-0.059677,16343.0,4797.0,16346.0,4798.0,0.0,1827.0,0.0,0.0,79.0,-93.0,4.0,stand~walk,101
67.835993,7.6233,-7.0161,-187.9859,1.188295,0.46013,-0.328218,-2.1497,-3.4245,-146.2458,0.352652,-1.024855,-0.036677,16342.0,4798.0,16345.0,4797.0,-476.0,0.0,-2062.0,-1721.0,57.0,-32.0,4.0,stand~walk,101
67.856112,7.8433,-6.3961,-190.3059,1.206295,0.44663,-0.315218,-1.9897,-3.2445,-152.0658,0.362152,-1.040855,-0.044677,16342.0,4799.0,16346.0,4797.0,377.0,0.0,2051.0,0.0,104.0,-29.0,4.0,stand~walk,101
67.876259,8.9033,-6.1161,-195.1259,1.254295,0.47313,-0.318218,-2.4897,-3.1645,-154.4658,0.373652,-1.061355,-0.035178,16343.0,4800.0,16346.0,4796.0,758.0,0.0,-1410.0,-1461.0,50.0,-25.0,4.0,stand~walk,101
67.896365,9.4833,-5.6561,-195.9859,1.227795,0.44363,-0.302218,-2.1697,-2.8645,-152.9258,0.403152,-1.055355,-0.038677,16345.0,4801.0,16347.0,4796.0,3684.0,1263.0,0.0,0.0,-39.0,-18.0,4.0,stand~walk,101
67.916474,10.7233,-5.9361,-196.7859,1.229295,0.42463,-0.314218,-1.8097,-2.3645,-152.3058,0.393652,-1.068855,-0.067177,16345.0,4801.0,16347.0,4796.0,1351.0,0.0,0.0,0.0,32.0,-14.0,4.0,stand~walk,101
67.936585,11.3833,-4.8161,-196.6459,1.224295,0.39913,-0.321718,-1.3897,-2.0645,-151.9458,0.427652,-1.086855,-0.051677,16346.0,4802.0,16347.0,4797.0,1062.0,106.0,0.0,1417.0,21.0,-11.0,4.0,stand~walk,101
67.956702,11.5033,-4.7161,-195.8059,1.212795,0.41963,-0.332218,-1.1097,-1.5445,-148.4458,0.437652,-1.087355,-0.038177,16347.0,4802.0,16347.0,4797.0,1099.0,0.0,0.0,0.0,25.0,-4.0,4.0,stand~walk,101
67.976829,11.0233,-4.7761,-189.6859,1.194795,0.41713,-0.328718,-0.9297,-1.5845,-144.8458,0.445152,-1.070355,-0.020677,16347.0,4803.0,16347.0,4799.0,29.0,0.0,0.0,2812.0,46.0,-4.0,4.0,stand~walk,101
67.996933,11.4233,-4.0361,-186.4459,1.204295,0.38613,-0.253718,-0.9297,-1.2445,-142.9258,0.421152,-1.070855,-0.020177,16347.0,4804.0,16347.0,4799.0,-245.0,0.0,0.0,0.0,21.0,0.0,4.0,stand~walk,101
68.017062,10.5433,-3.5961,-184.7459,1.225295,0.38163,-0.221718,-0.7697,-1.2045,-138.8258,0.397152,-1.032355,0.004823,16347.0,4805.0,16347.0,4799.0,-33.0,223.0,0.0,531.0,18.0,-4.0,4.0,stand~walk,101
68.03721,10.1033,-4.0161,-180.2859,1.203295,0.37913,-0.178218,-0.9097,-1.1845,-132.8458,0.368652,-1.019855,0.048823,16347.0,4806.0,16347.0,4800.0,894.0,582.0,0.0,0.0,36.0,-4.0,4.0,stand~walk,101
68.057325,9.4633,-4.3561,-175.2259,1.171795,0.39613,-0.199718,-1.6697,-0.7845,-128.3258,0.355152,-0.981355,0.049323,16346.0,4807.0,16348.0,4800.0,-330.0,967.0,652.0,-1534.0,89.0,-4.0,4.0,stand~walk,101
68.077436,9.3233,-4.3761,-173.2859,1.159795,0.38613,-0.192718,-2.0497,-1.2845,-124.1258,0.330152,-0.939855,0.054823,16347.0,4808.0,16348.0,4801.0,37.0,2076.0,0.0,0.0,4.0,-14.0,4.0,stand~walk,101
68.097624,8.9033,-4.7561,-175.6459,1.168295,0.40163,-0.229218,-1.7297,-0.7645,-118.5458,0.342152,-0.908855,0.053323,16348.0,4808.0,16348.0,4802.0,1124.0,-1721.0,-1879.0,1783.0,32.0,18.0,4.0,stand~walk,101
68.117836,8.8833,-5.3761,-174.4059,1.153295,0.39413,-0.220218,-1.5497,-0.5245,-114.2458,0.340652,-0.869355,0.055323,16349.0,4809.0,16349.0,4802.0,436.0,502.0,0.0,161.0,25.0,-50.0,4.0,stand~walk,101
68.138118,8.3233,-4.8761,-172.2259,1.141295,0.38963,-0.212218,-2.0497,-0.7645,-111.2258,0.319152,-0.842855,0.028823,16349.0,4809.0,16349.0,4803.0,282.0,0.0,0.0,1571.0,25.0,0.0,4.0,stand~walk,101
68.158229,7.9633,-4.6361,-171.7259,1.163795,0.40163,-0.185718,-2.4697,-1.1445,-108.5458,0.314652,-0.829355,0.030823,16350.0,4809.0,16349.0,4803.0,634.0,0.0,0.0,0.0,18.0,7.0,4.0,stand~walk,101
68.178361,7.3233,-5.4961,-171.9259,1.157295,0.40563,-0.177218,-1.8497,-1.0845,-106.8058,0.308152,-0.816855,0.034323,16351.0,4809.0,16349.0,4803.0,1018.0,0.0,0.0,-963.0,-32.0,14.0,4.0,stand~walk,101
68.19845,7.3233,-5.2561,-174.6259,1.173295,0.39763,-0.173218,-1.8297,-0.3445,-103.6058,0.307152,-0.811855,0.046323,16351.0,4809.0,16349.0,4804.0,-1110.0,0.0,-2065.0,0.0,39.0,14.0,4.0,stand~walk,101
68.21856,7.9033,-4.7161,-176.6659,1.203795,0.37513,-0.170718,-1.3097,-1.0445,-102.2258,0.307152,-0.808355,0.057823,16352.0,4809.0,16350.0,4805.0,516.0,0.0,0.0,967.0,-25.0,18.0,4.0,stand~walk,101
68.238674,8.2033,-5.7561,-180.1859,1.211795,0.39813,-0.198218,-1.7097,-0.6045,-101.2258,0.318152,-0.813355,0.040823,16353.0,4810.0,16351.0,4805.0,1165.0,1860.0,1150.0,0.0,-11.0,21.0,4.0,stand~walk,101
68.25888,8.2233,-5.2961,-182.9059,1.221295,0.39263,-0.198218,-1.4297,-0.5845,-100.2658,0.320652,-0.809355,0.052323,16353.0,4810.0,16351.0,4805.0,157.0,0.0,0.0,-1608.0,-61.0,18.0,4.0,stand~walk,101
68.278982,8.9233,-5.2561,-185.0659,1.240795,0.39113,-0.207218,-1.5497,-0.1845,-98.4258,0.336652,-0.795355,0.038823,16352.0,4811.0,16352.0,4806.0,-1827.0,912.0,0.0,0.0,50.0,18.0,4.0,stand~walk,101
68.299123,8.0833,-4.7961,-188.0859,1.255295,0.38463,-0.186718,-0.9097,-0.4645,-97.8458,0.315152,-0.794355,0.050323,16352.0,4812.0,16352.0,4806.0,0.0,0.0,-1860.0,0.0,-11.0,14.0,4.0,stand~walk,101
68.319248,8.7433,-4.0961,-191.2259,1.292295,0.40163,-0.165718,-1.1497,-0.1845,-97.9058,0.341152,-0.800355,0.052323,16352.0,4813.0,16353.0,4807.0,0.0,0.0,0.0,1776.0,-11.0,11.0,4.0,stand~walk,101
68.339494,9.0233,-4.5561,-199.4259,1.336295,0.39613,-0.160218,-1.3097,-0.1645,-95.0458,0.323152,-0.782855,0.071823,16351.0,4814.0,16353.0,4808.0,-77.0,0.0,0.0,165.0,32.0,7.0,4.0,stand~walk,101
68.359579,9.1833,-4.8761,-211.4259,1.408795,0.36963,-0.174218,-1.1297,0.3555,-91.4458,0.324152,-0.765355,0.060323,16350.0,4816.0,16353.0,4808.0,-352.0,44.0,0.0,0.0,32.0,-4.0,4.0,stand~walk,101
68.379713,9.7233,-5.0961,-224.5259,1.463795,0.36263,-0.189718,-1.5697,-0.0245,-86.9658,0.293152,-0.720355,0.062323,16350.0,4818.0,16352.0,4809.0,-1238.0,1417.0,-2014.0,0.0,0.0,-18.0,4.0,stand~walk,101
68.399837,10.4033,-5.2561,-234.9859,1.517795,0.38013,-0.214218,-1.1497,0.0355,-82.6658,0.295652,-0.664855,0.074323,16350.0,4821.0,16352.0,4810.0,-326.0,963.0,-73.0,0.0,-7.0,-71.0,4.0,stand~walk,101
68.419949,10.5233,-5.4761,-247.4059,1.570295,0.37363,-0.231718,-1.7897,-0.2445,-81.0058,0.288652,-0.654355,0.078323,16350.0,4824.0,16352.0,4811.0,179.0,1674.0,0.0,1150.0,-32.0,-57.0,4.0,stand~walk,101
