26.076358,0.5347,-0.0194,-0.7591,0.00316,-0.003532,-0.0168,0.4006,-0.2022,0.0787,0.001242,0.008007,0.003,-10851.0,14808.0,59367.0,34357.0,1458.0,-1571.0,0.0,0.0,-275.0,-7.0,247.0,-943.0,0.0,walkFR~fwd,1
26.086429,0.5347,0.3406,-0.7591,0.01066,0.011468,0.0037,-0.8394,-0.7622,-2.7613,0.069242,0.085007,-0.036,-10851.0,14808.0,59367.0,34356.0,780.0,-1172.0,0.0,-699.0,-247.0,46.0,247.0,-940.0,0.0,walkFR~fwd,1
26.096489,-0.0053,-0.1394,-0.7591,0.00916,-0.002532,-0.0128,-9.0794,6.8978,-23.4413,0.935242,0.438007,-0.2345,-10851.0,14808.0,59367.0,34356.0,996.0,0.0,0.0,0.0,-250.0,-11.0,243.0,-940.0,0.0,walkFR~fwd,1
26.106553,0.3147,-0.1194,-0.6591,0.01316,0.001968,0.0082,-3.7794,4.1178,-21.8013,0.557242,-0.056993,-0.138,-10852.0,14807.0,59367.0,34356.0,-421.0,-223.0,0.0,0.0,-193.0,-7.0,247.0,-943.0,0.0,walkFR~fwd,1
26.116612,0.9747,0.6006,-0.9991,0.00116,-0.016532,0.0117,0.4606,-4.3622,-19.9213,-0.209758,-0.270993,0.044,-10851.0,14807.0,59367.0,34356.0,1326.0,0.0,0.0,0.0,-311.0,-7.0,247.0,-940.0,0.0,walkFR~fwd,1
26.126684,-0.0053,0.0406,-0.8591,0.00466,-0.002532,-0.0018,0.4006,-5.5022,-14.3213,-0.422258,-0.128993,0.0755,-10851.0,14806.0,59367.0,34355.0,-1128.0,0.0,0.0,-161.0,-236.0,0.0,243.0,-940.0,0.0,walkFR~fwd,1
26.136733,0.4947,-0.1194,-0.9191,0.00616,-0.004532,-0.0133,0.3806,-2.6022,-9.3813,-0.245258,-0.043993,0.0445,-10850.0,14805.0,59367.0,34355.0,-377.0,0.0,0.0,0.0,-282.0,4.0,243.0,-940.0,0.0,walkFR~fwd,1
26.146794,0.0947,-0.5594,-6.1991,-0.02434,-0.016032,-0.0363,-0.3194,-0.7822,-8.4013,0.009242,0.023507,-0.004,-10850.0,14804.0,59367.0,34355.0,-502.0,-2120.0,0.0,0.0,-264.0,46.0,247.0,-940.0,0.0,walkFR~fwd,1
26.156839,-1.1653,-4.9594,-80.6791,0.75766,0.371468,-0.1698,-1.0194,0.5778,-11.4213,0.143742,0.008507,-0.0465,-10850.0,14804.0,59367.0,34355.0,-809.0,0.0,0.0,0.0,-211.0,7.0,243.0,-943.0,0.0,walkFR~fwd,1
26.166897,-3.7653,-0.2194,-79.6391,1.15916,0.653968,-0.1383,-1.1994,0.3778,-17.2413,0.127242,-0.073493,-0.0085,-10850.0,14803.0,59368.0,34354.0,-798.0,-967.0,1545.0,-1545.0,-229.0,11.0,179.0,-876.0,0.0,walkFR~fwd,1
26.176954,0.7147,-6.5594,-73.3791,0.48466,0.149968,-0.0928,-0.6794,-1.8822,-22.5013,-0.044758,-0.155493,0.0095,-10850.0,14802.0,59368.0,34354.0,-1348.0,-3662.0,-886.0,0.0,-250.0,57.0,236.0,-933.0,0.0,walkFR~fwd,1
26.187023,1.0747,-3.6394,-43.0591,0.20816,0.113968,-0.0553,-1.9594,-1.9622,-25.1213,-0.052758,-0.114993,-0.002,-10849.0,14802.0,59368.0,34353.0,-509.0,677.0,0.0,-828.0,-297.0,21.0,243.0,-933.0,0.0,walkFR~fwd,1
26.19708,1.6347,-1.6994,-34.0791,0.28166,0.023968,-0.0303,-1.9594,-1.0222,-26.5013,0.090742,-0.067993,-0.027,-10849.0,14802.0,59369.0,34352.0,1040.0,0.0,2120.0,-1150.0,-279.0,18.0,200.0,-879.0,0.0,walkFR~fwd,1
26.207147,1.8947,-3.3594,-43.4391,0.22416,-0.058032,-0.0403,-1.9594,-0.4222,-28.6413,0.117742,-0.138493,-0.0175,-10850.0,14802.0,59369.0,34352.0,-190.0,0.0,886.0,0.0,-268.0,14.0,175.0,-926.0,0.0,walkFR~fwd,1
26.21722,0.7547,-3.0594,-50.3791,0.43216,0.201968,-0.0758,-1.8794,-1.9622,-31.6013,0.058742,-0.207493,-0.0165,-10850.0,14802.0,59369.0,34351.0,-29.0,0.0,1359.0,-1417.0,-293.0,18.0,239.0,-922.0,0.0,walkFR~fwd,1
26.227293,0.5747,-3.3994,-55.2191,0.48816,0.242468,-0.0833,-2.2394,-1.3622,-33.7013,0.054742,-0.182493,-0.001,-10850.0,14802.0,59370.0,34351.0,-1370.0,0.0,1956.0,0.0,-222.0,18.0,225.0,-918.0,0.0,walkFR~fwd,1
26.237356,1.2747,-3.7394,-54.2791,0.38716,0.105468,-0.0698,-2.6594,-0.9022,-33.7813,0.107742,-0.130993,-0.0225,-10851.0,14802.0,59370.0,34350.0,-1472.0,0.0,0.0,-297.0,-243.0,18.0,229.0,-911.0,0.0,walkFR~fwd,1
26.247418,0.7947,-3.5994,-49.8591,0.35916,0.167468,-0.0678,-2.4794,-0.9622,-31.8613,0.101742,-0.140493,-0.001,-10852.0,14802.0,59370.0,34350.0,-2263.0,0.0,0.0,0.0,-204.0,18.0,229.0,-911.0,0.0,walkFR~fwd,1
26.257479,0.6347,-3.7794,-52.5791,0.37416,0.183468,-0.1078,-1.7594,-0.9222,-31.1013,0.070242,-0.164993,0.0125,-10852.0,14802.0,59370.0,34350.0,-483.0,0.0,0.0,1329.0,-257.0,18.0,225.0,-968.0,0.0,walkFR~fwd,1
26.267632,0.8747,-3.2394,-58.3191,0.47866,0.178468,-0.0668,-1.8994,-0.6222,-30.2813,0.094742,-0.143493,0.0035,-10853.0,14802.0,59370.0,34349.0,-549.0,0.0,0.0,0.0,-197.0,14.0,229.0,-904.0,0.0,walkFR~fwd,1
26.277591,0.6347,-3.0794,-63.9591,0.56366,0.229968,-0.0833,-2.5394,-0.5822,-30.1413,0.107742,-0.117993,-0.0125,-10854.0,14802.0,59370.0,34348.0,-1553.0,0.0,0.0,-1150.0,-232.0,14.0,225.0,-851.0,0.0,walkFR~fwd,1
